series,date,sector,value
abs,2017-01-01,p3.6.5,5020
abs,2017-01-01,p3.7,33202
abs,2017-01-01,p3.7.1,24416
abs,2017-01-01,p3.7.2,4571
abs,2017-01-01,p3.7.3,4215
abs,2017-01-01,p4,66552
abs,2017-01-01,p4.1,34010
abs,2017-01-01,p4.1.1,17701
abs,2017-01-01,p4.1.2,16309
abs,2017-01-01,p4.2,21336
abs,2017-01-01,p4.3,11206
abs,2017-01-01,p5,747360
abs,2017-01-01,p5.1,158202
abs,2017-01-01,p5.1.1,28225
abs,2017-01-01,p5.1.2,7152
abs,2017-01-01,p5.1.3,48786
abs,2017-01-01,p5.1.3.1,12157
abs,2017-01-01,p5.1.3.2,6374
abs,2017-01-01,p5.1.3.3,6276
abs,2017-01-01,p5.1.3.4,7050
abs,2017-01-01,p5.1.3.5,7293
abs,2017-01-01,p5.1.3.6,7526
abs,2017-01-01,p5.1.3.7,2111
abs,2017-01-01,p5.1.4,74039
abs,2017-01-01,p5.1.4.1,7701
abs,2017-01-01,p5.1.4.2,49502
abs,2017-01-01,p5.1.4.3,16836
abs,2017-01-01,p5.2,263057
abs,2017-01-01,p5.2.1,218318
abs,2017-01-01,p5.2.1.1,96980
abs,2017-01-01,p5.2.1.2,97497
abs,2017-01-01,p5.2.1.3,23841
abs,2017-01-01,p5.2.2,35702
abs,2017-01-01,p5.2.3,9037
abs,2017-01-01,p5.3,147633
abs,2017-01-01,p5.3.1,65511
abs,2017-01-01,p5.3.1.1,54989
abs,2017-01-01,p5.3.1.2,10522
abs,2017-01-01,p5.3.2,20755
abs,2017-01-01,p5.3.2.1,20129
abs,2017-01-01,p5.3.2.2,626
abs,2017-01-01,p5.3.3,20608
abs,2017-01-01,p5.3.4,40759
abs,2017-01-01,p5.3.4.1,27748
abs,2017-01-01,p5.3.4.2,13011
abs,2017-01-01,p5.4,65593
abs,2017-01-01,p5.4.1,9628
abs,2017-01-01,p5.4.2,10882
abs,2017-01-01,p5.4.3,29325
abs,2017-01-01,p5.4.4,353
abs,2017-01-01,p5.4.5,1292
abs,2017-01-01,p5.4.6,14113
abs,2017-01-01,p5.5,112874
abs,2017-01-01,p5.5.01,16341
abs,2017-01-01,p5.5.02,9286
abs,2017-01-01,p5.5.03,10634
abs,2017-01-01,p5.5.04,9627
abs,2017-01-01,p5.5.05,407
abs,2017-01-01,p5.5.06,1912
abs,2017-01-01,p5.5.07,16275
abs,2017-01-01,p5.5.08,2123
abs,2017-01-01,p5.5.09,44891
abs,2017-01-01,p5.5.10,1376
abs,2017-01-01,p6,19280
abs,2018-01-01,p0,1447760
abs,2018-01-01,p1,108757
abs,2018-01-01,p1.1,71329
abs,2018-01-01,p1.1.1,2894
abs,2018-01-01,p1.1.2,42033
abs,2018-01-01,p1.1.3,2407
abs,2018-01-01,p1.1.4,10982
abs,2018-01-01,p1.1.5,5235
abs,2018-01-01,p1.1.6,6676
abs,2018-01-01,p1.1.7,1102
abs,2018-01-01,p1.2,15828
abs,2018-01-01,p1.2.1,9685
abs,2018-01-01,p1.2.2,1220
abs,2018-01-01,p1.2.3,4924
abs,2018-01-01,p1.3,7928
abs,2018-01-01,p1.4,13672
abs,2018-01-01,p1.4.1,8646
abs,2018-01-01,p1.4.2,5026
abs,2018-01-01,p2,134833
abs,2018-01-01,p2.1,70800
abs,2018-01-01,p2.2,54290
abs,2018-01-01,p2.3,9743
abs,2018-01-01,p3,311676
abs,2018-01-01,p3.1,38480
abs,2018-01-01,p3.1.1,13156
abs,2018-01-01,p3.1.2,16515
abs,2018-01-01,p3.1.3,5088
abs,2018-01-01,p3.1.4,3721
abs,2018-01-01,p3.2,5810
abs,2018-01-01,p3.2.1,5060
abs,2018-01-01,p3.2.2,750
